"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMMUG00000019777",1557.42674980652,10.2739812240543,0.509173867521433,20.1777465015362,1.53590301451832e-90,2.90301028774107e-86
"ENSMMUG00000013250",1052.4104069904,9.58192841897213,0.540712529272152,17.7209291448642,2.89097687929797e-70,2.73211769978054e-66
"ENSMMUG00000020374",16872.6292733413,4.40465055999132,0.251302661236991,17.5272738390841,8.87225239732947e-69,5.58981475206414e-65
"ENSMMUG00000014072",877.42614794741,4.8928622940286,0.301730118359626,16.2160221877383,3.88558746206685e-59,1.83603721551314e-55
"ENSMMUG00000039336",787.05958390952,8.63936596403104,0.569447196591766,15.1714961733749,5.46174682881651e-52,2.06464953622922e-48
"ENSMMUG00000013014",5014.07650357386,6.03202185617141,0.402553825198437,14.9843858847893,9.28800999896793e-51,2.92587794984155e-47
"ENSMMUG00000042751",18057.2756622761,5.71065150456179,0.385037411141898,14.8314198550884,9.17711086875031e-50,2.47795103614642e-46
"ENSMMUG00000020102",2141.50245274879,4.68373335674374,0.320145249137287,14.6300261189734,1.8071775582838e-48,4.26968287864027e-45
"ENSMMUG00000016671",7916.77499205406,6.62416394455003,0.467617811624779,14.1657648187818,1.49233279900624e-45,3.13406469266856e-42
"ENSMMUG00000042343",6389.40095707218,5.87682541990086,0.423232808000665,13.8855620566438,7.74901261134829e-44,1.46464087367094e-40
"ENSMMUG00000014896",1293.21822575458,4.70522291735256,0.341379594311847,13.7829647575666,3.22740708220176e-43,5.54556556915414e-40
"ENSMMUG00000004930",2081.66794628545,3.68439833008673,0.269375810961131,13.6775396311229,1.38293285389588e-42,2.17823448929049e-39
"ENSMMUG00000008111",2986.00719805081,4.71278472231471,0.353698640731885,13.3242941294964,1.67206754152703e-40,2.43105758480018e-37
"ENSMMUG00000048596",467.552665580863,7.76715828074877,0.585262918654676,13.2712291060621,3.39958566486755e-40,4.58968347511868e-37
"ENSMMUG00000045482",6028.01139609879,4.18613156515274,0.326885110798607,12.8061249254384,1.51514071190837e-37,1.90917830638534e-34
"ENSMMUG00000019983",752.729814508821,8.24061718487384,0.647663729231122,12.7236045696997,4.37215990199901e-37,5.1648871442302e-34
"ENSMMUG00000016925",671.072953554146,7.45800576245603,0.588619175280758,12.6703411571645,8.63380855936629e-37,9.59927150474013e-34
"ENSMMUG00000008367",678.901261145102,6.54949112415055,0.517745059519746,12.6500311373821,1.11830493174419e-36,1.17428230638317e-33
"ENSMMUG00000008934",7645.35726076106,4.99084472986347,0.39795027302321,12.5413778257978,4.4322169105357e-36,4.40912272768607e-33
"ENSMMUG00000010323",3353.41623067064,3.14449522231814,0.252070256294996,12.4746777685589,1.02620493732557e-35,9.69814976019532e-33
"ENSMMUG00000045654",3047.13180274475,3.65762682979657,0.296141825274643,12.3509295804619,4.81518040533804e-35,4.33389165910925e-32
"ENSMMUG00000002990",4844.96176881497,3.03815319750534,0.248357683176196,12.2329744691246,2.07209499061782e-34,1.78021215534852e-31
"ENSMMUG00000008869",6156.88986642935,3.56942288269341,0.291922924668455,12.2272784391541,2.22261191753417e-34,1.82650381970928e-31
"ENSMMUG00000047942",909.208979440355,4.9636900003493,0.408356062645615,12.1552989030971,5.37647867338663e-34,4.2342009752367e-31
"ENSMMUG00000021752",1505.53910716878,5.32806266929825,0.44290302737805,12.0298628366574,2.47571720692578e-33,1.87174123712417e-30
"ENSMMUG00000042117",430.109543087936,5.24288973016178,0.43709980805758,11.9947198180218,3.78696417998324e-33,2.75297730637935e-30
"ENSMMUG00000021568",6955.76355313189,2.71525105450023,0.234453533081776,11.5811906044221,5.13281718269262e-31,3.59316213222494e-28
